Order Date,Customer ID,Category,Sub-Category,Sales,Quantity,Discount,Marketing,Sales Compensation,Returned
2014-12-31,GM-14455139,Office Supplies,Fasteners,70.8,5,0,26.1,6.69,FALSE
2014-03-26,DW-13480130,Office Supplies,Paper,8.904,1,0.47,0,1.72,FALSE
2015-10-17,SC-2009528,Office Supplies,Storage,108.48,3,0,21.66,7.123,FALSE
2012-08-10,EM-406523,Office Supplies,Binders,28.8,1,0,12.96,2.42,FALSE
2012-12-20,MZ-1751528,Furniture,Bookcases,392.4,3,0,3.9,36.765,FALSE
2015-09-02,MC-1784545,Office Supplies,Storage,1068.714,6,0.1,0,220.97,FALSE
2014-08-06,ME-17320120,Office Supplies,Envelopes,32.22,3,0,3.78,1.61,FALSE
2015-04-24,DL-12925143,Office Supplies,Storage,50.988,1,0.4,5.088,5.102,FALSE
2014-06-13,CL-2700134,Technology,Phones,29.244,1,0.6,0,4.02,FALSE
2012-05-02,MM-1828048,Office Supplies,Storage,534.438,3,0.1,231.588,53.73,FALSE
2012-04-12,JW-1607582,Furniture,Chairs,84.256,2,0.2,4.176,6.937,FALSE
2013-06-20,SC-207701404,Technology,Phones,125.976,3,0.2,47.241,18.81,FALSE
2015-05-17,CS-11860139,Office Supplies,Art,161.91,3,0,54.99,17.71,FALSE
2012-09-07,JH-1591048,Office Supplies,Supplies,96.66,3,0,30.87,18.18,FALSE
2015-11-03,TH-211151406,Office Supplies,Envelopes,8.856,3,0.2,2.8782,1.5,FALSE
2015-09-01,TB-2135582,Office Supplies,Envelopes,179.9,7,0,46.76,12.162,FALSE
2012-09-22,SN-207107,Technology,Copiers,1709.235,5,0.1,588.735,212.72,FALSE
2015-11-13,MY-1829582,Furniture,Furnishings,131.94,3,0.4,0,5.652,TRUE
2014-05-09,CL-125651406,Office Supplies,Storage,1006.056,3,0.2,88.0299,254.13,TRUE
2015-10-30,GZ-1447055,Furniture,Chairs,164.724,7,0.4,0,12.946,FALSE
2014-10-25,SC-2026082,Office Supplies,Storage,44.58,3,0,15.6,1.909,FALSE
2012-05-09,JL-585095,Technology,Phones,86.112,4,0.7,0,5.41,FALSE
2015-07-08,RL-196151406,Office Supplies,Storage,13.392,3,0.2,1.0044,2.26,FALSE
2015-10-17,DR-1294058,Office Supplies,Paper,46.71,3,0,19.53,5.24,FALSE
2014-12-17,MK-8160103,Office Supplies,Art,280.44,6,0,131.76,34.39,FALSE
2013-07-10,TS-21160102,Office Supplies,Supplies,80.2395,3,0.45,0,5.18,FALSE
2014-11-25,TH-2110018,Office Supplies,Envelopes,40.2,5,0,17.6,3.413,FALSE
2013-09-06,JD-601568,Office Supplies,Labels,3.483,1,0.7,0,1.39,FALSE
2015-07-08,RL-196151406,Technology,Accessories,16.776,3,0.2,4.8231,1.44,FALSE
2015-08-12,AW-1084027,Technology,Accessories,449.64,4,0,13.44,38.64,FALSE
2015-11-10,GH-1448545,Office Supplies,Binders,18.54,2,0,8.1,2.24,FALSE
2014-09-20,EH-141251402,Office Supplies,Binders,2.308,2,0.8,0,1.34,FALSE
2012-11-22,RE-1945048,Technology,Machines,583.38,7,0,244.86,70.98,FALSE
2015-06-12,CY-127457,Office Supplies,Art,63,4,0,18.84,2.82,FALSE
2014-09-30,JK-157301408,Office Supplies,Binders,62.94,3,0,30.2112,6.92,FALSE
2015-03-13,FO-1430527,Office Supplies,Envelopes,49.5,5,0,0,1.46,FALSE
2014-12-12,JM-1526527,Furniture,Furnishings,283.68,6,0,118.98,35.11,FALSE
2015-08-02,GP-474075,Technology,Copiers,88.155,1,0.7,0,10.03,FALSE
2015-09-30,JO-152801408,Office Supplies,Storage,243.92,5,0.2,0,13.31,FALSE
2012-01-17,EH-1376545,Office Supplies,Art,299.97,11,0,50.82,38.7,FALSE
2015-01-29,TC-1098095,Office Supplies,Supplies,73.926,6,0.7,0,13.98,FALSE
2014-08-12,JF-556533,Technology,Accessories,1035,4,0,41.4,74.65,FALSE
2015-10-02,Dp-1324064,Office Supplies,Labels,46.62,7,0,21.84,5.17,FALSE
2012-08-09,HZ-1495078,Office Supplies,Labels,39.15,3,0,1.89,4.36,FALSE
2015-12-29,AR-1057059,Technology,Accessories,44.7426,2,0.47,0,2.36,FALSE
2015-09-09,JF-1541551,Technology,Copiers,95.06948,1,0.002,21.70948,8.246,FALSE
2012-12-27,AJ-107801406,Office Supplies,Storage,704.25,5,0,84.51,52.9,FALSE
2014-12-31,TM-11490134,Office Supplies,Storage,51.156,1,0.6,0,2.72,FALSE
2013-10-04,NG-184307,Technology,Machines,695.28,4,0,201.6,56.13,FALSE
2014-03-16,PF-1922521,Technology,Accessories,218.52,3,0,30.51,61.86,FALSE
2015-06-23,SB-10290134,Office Supplies,Binders,20.184,1,0.6,0,1.84,FALSE
2012-07-19,KM-163751402,Office Supplies,Storage,342.864,3,0.2,38.5722,31.88,FALSE
2012-10-21,TC-10980137,Office Supplies,Fasteners,37.92,2,0,0.72,4.93,FALSE
2015-07-07,AH-105851408,Furniture,Chairs,239.24,1,0.2,23.924,53.73,FALSE
2015-09-12,GM-1469558,Office Supplies,Labels,90.72,9,0,16.2,5.04,FALSE
2015-05-20,BC-111251404,Office Supplies,Art,3.52,2,0,1.0208,1.19,FALSE
2014-03-13,JD-16015139,Office Supplies,Binders,54.9,2,0,15.36,12.19,FALSE
2013-10-29,DD-1357018,Office Supplies,Binders,18.2,2,0,7.64,1.088,FALSE
2014-05-22,CP-123401406,Office Supplies,Fasteners,111.96,2,0,54.8604,17.43,FALSE
2014-10-18,EB-1397559,Office Supplies,Fasteners,52.4223,7,0.47,0,8.29,FALSE
2015-09-03,BH-1710107,Technology,Copiers,756.6,2,0,332.88,51.34,FALSE
2014-11-27,CD-127901406,Office Supplies,Paper,13.36,2,0,6.4128,4.92,FALSE
2013-06-11,EM-138257,Technology,Phones,201.447,3,0.1,26.847,23.53,FALSE
2015-06-09,SP-2086018,Office Supplies,Binders,15.24,2,0,7.16,2.047,FALSE
2014-09-30,JL-5130110,Office Supplies,Envelopes,61.08,2,0,29.88,6.33,FALSE
2012-04-05,DP-1310536,Office Supplies,Labels,5.968,1,0.2,2.008,1.545,FALSE
2015-01-03,SJ-202157,Office Supplies,Binders,39.447,3,0.1,5.697,1.94,FALSE
2013-02-09,SC-205757,Office Supplies,Paper,47.412,2,0.1,19.452,8.13,FALSE
2015-09-27,SM-2095082,Office Supplies,Fasteners,9.56,1,0,2.18,1.855,FALSE
2013-06-18,SJ-2050045,Furniture,Chairs,119.799,1,0.1,50.559,10.88,FALSE
2015-03-17,GH-1448566,Technology,Machines,442.32,4,0,101.64,32.63,FALSE
2013-05-31,JM-152651402,Office Supplies,Binders,3.564,3,0.8,0,1.2,FALSE
2013-04-03,ML-739557,Office Supplies,Art,28.56,2,0,13.08,1.34,FALSE
2015-09-16,JF-1541551,Technology,Phones,95.42,1,0,35.3,10.96,FALSE
2014-08-15,DV-1304582,Technology,Machines,170.52,3,0,66.48,30.024,FALSE
2012-05-20,KH-163601402,Office Supplies,Binders,18.24,3,0.8,0,4.52,FALSE
2012-06-14,JK-537095,Furniture,Bookcases,660.312,6,0.7,0,51.61,FALSE
2015-12-22,JE-1571556,Office Supplies,Labels,11.85,1,0,5.55,1.94,FALSE
2014-08-24,MG-1769582,Office Supplies,Binders,8.52,1,0,3.82,1.42,FALSE
2015-02-18,SF-1020029,Furniture,Furnishings,100.74,2,0,31.2,4.91,FALSE
2013-09-24,BP-111857,Office Supplies,Storage,33.75,2,0.1,2.25,4.11,FALSE
2012-12-30,CC-1210027,Office Supplies,Labels,93.03,7,0,20.37,6.27,FALSE
2012-09-26,AP-1091564,Office Supplies,Binders,32.25,5,0,8.25,2.69,FALSE
2015-12-23,JK-16090104,Office Supplies,Supplies,20.7,3,0.5,0,1.44,FALSE
2012-03-20,MC-17425101,Furniture,Chairs,269.82,5,0.4,8.92,69.43,FALSE
2014-01-17,JC-1538536,Furniture,Furnishings,97.56,6,0.5,0,12.176,FALSE
2015-09-29,MS-17710102,Office Supplies,Binders,6.6555,1,0.15,0.5355,1.4,FALSE
2015-03-01,LB-1679558,Technology,Machines,185.64,4,0,90.96,13.12,FALSE
2015-12-31,TD-2099582,Office Supplies,Storage,35.2,2,0,9.12,3.448,FALSE
2015-11-06,TM-11490110,Technology,Machines,174.24,1,0,59.22,9.7,FALSE
2013-06-27,DM-129557,Technology,Copiers,262.278,2,0.1,101.958,32.73,FALSE
2015-12-26,Dl-1360058,Office Supplies,Storage,133.2,1,0,61.26,23.57,TRUE
2012-12-28,LR-1703539,Technology,Accessories,114.66,3,0,0,5.613,FALSE
2013-08-20,SP-2054527,Office Supplies,Fasteners,98.49,7,0,26.46,3.06,FALSE
2013-11-23,SV-209355,Office Supplies,Art,93.18,5,0.4,15.48,2.16,FALSE
2015-06-25,LS-1694545,Office Supplies,Art,43.515,3,0.5,0,3.11,FALSE
2015-12-10,NC-185351404,Office Supplies,Paper,419.4,5,0.2,146.79,43.86,FALSE
2014-03-04,TS-211601404,Office Supplies,Supplies,25.35,3,0,7.605,3.5,TRUE
2012-10-02,RD-199301402,Furniture,Furnishings,31.776,3,0.6,0,3.77,FALSE
2013-10-01,BS-1159092,Office Supplies,Envelopes,61.632,2,0.4,0,10.17,FALSE
2014-10-21,LB-1679598,Furniture,Furnishings,64.26,3,0.4,0,4.541,FALSE
2014-09-11,HJ-1487527,Technology,Accessories,307.44,3,0,129.06,50.14,FALSE
2013-11-24,JH-15820120,Office Supplies,Art,73.5,5,0,14.7,2.49,FALSE
2015-08-11,PC-1900045,Office Supplies,Art,122.22,7,0,49.98,12.43,TRUE
2012-03-30,LB-16735125,Furniture,Furnishings,110.28,2,0,37.44,5.63,FALSE
2013-07-13,ND-183701406,Furniture,Chairs,1931.04,9,0.1,321.84,477.15,FALSE
2013-06-21,PB-18805120,Office Supplies,Supplies,212.22,6,0,14.76,18.38,FALSE
2014-12-16,CM-183095,Office Supplies,Supplies,48.708,6,0.7,0,1.24,FALSE
2014-05-29,JR-1567059,Office Supplies,Binders,40.6368,1,0.17,0,2.42,FALSE
2015-03-15,NR-18550102,Office Supplies,Binders,128.9025,3,0.15,30.2625,10.85,TRUE
2012-09-07,SM-1095060,Office Supplies,Art,51.66,2,0,18.06,2.77,FALSE
2013-08-09,NP-183251406,Office Supplies,Paper,143.7,3,0,68.976,30.92,FALSE
2014-12-28,TS-2150564,Furniture,Chairs,41.352,2,0.6,0,9.95,FALSE
2015-12-03,BS-113801404,Office Supplies,Binders,36.624,8,0.7,0,1.45,TRUE
2013-03-02,PG-889561,Office Supplies,Art,227.28,4,0,34.08,24.17,FALSE
2014-10-18,SW-20350143,Office Supplies,Art,17.388,3,0.4,0,1.896,FALSE
2014-09-23,LP-1709545,Furniture,Bookcases,306.342,2,0.1,20.382,21.19,FALSE
2015-12-26,JG-5115134,Office Supplies,Fasteners,8.784,2,0.6,0,1.19,FALSE
2015-12-18,GA-14725118,Office Supplies,Paper,46.8,3,0.5,0,4.05,FALSE
2015-09-03,BE-113351402,Office Supplies,Storage,352.38,2,0,81.0474,22.63,FALSE
2012-04-28,EH-1394593,Office Supplies,Art,66.48,2,0,26.56,4.379,FALSE
2015-03-18,MP-1796562,Office Supplies,Art,67.41,6,0.5,0,21.79,FALSE
2012-09-08,DB-1355582,Office Supplies,Appliances,54.4,2,0,3.8,4.064,FALSE
2015-11-28,RP-193901406,Office Supplies,Art,6.99,3,0,2.0271,1.47,FALSE
2015-04-25,BM-1140137,Technology,Copiers,596.28,2,0,29.76,143.51,FALSE
2014-12-09,AH-10195139,Office Supplies,Binders,43.56,3,0,1.71,3.45,FALSE
2015-08-06,MM-1828058,Furniture,Bookcases,171.87,1,0,63.57,32.96,FALSE
2015-04-30,PT-1909031,Office Supplies,Labels,104.44,14,0,49,5.387,FALSE
2013-12-21,RD-197201408,Technology,Accessories,50.88,6,0.2,14.628,4.67,TRUE
2013-10-06,PB-1921059,Office Supplies,Binders,16.0605,5,0.17,5.8605,1.29,FALSE
2014-05-01,CY-127455,Office Supplies,Storage,97.02,5,0.4,0,15.335,FALSE
2012-03-02,TS-1108563,Technology,Accessories,69.15,1,0,1.38,5.58,FALSE
2014-08-22,TB-2140066,Office Supplies,Supplies,22.29,1,0,9.57,1.97,TRUE
2013-02-08,NS-1864048,Technology,Machines,236.1,2,0,115.68,3.42,FALSE
2015-01-18,MG-1789097,Furniture,Chairs,411.624,3,0.2,107.964,26.79,FALSE
2014-12-18,BF-11020101,Technology,Accessories,229.2,5,0.4,0,63.986,FALSE
2012-08-16,SF-209657,Furniture,Chairs,755.73,5,0.1,243.48,175.98,FALSE
2014-09-19,DW-1358598,Technology,Phones,99.108,3,0.4,0,11.768,FALSE
2015-08-28,DR-128801404,Office Supplies,Paper,116.28,3,0,56.9772,2.78,FALSE
2015-01-06,RH-1949545,Technology,Phones,535.8825,5,0.15,12.5325,51.67,FALSE
2012-04-03,AB-10015139,Office Supplies,Art,50.7,2,0,13.68,10.03,FALSE
2012-06-20,NW-184001406,Technology,Accessories,95.968,4,0.2,28.7904,3.36,FALSE
2012-12-04,BB-1099036,Office Supplies,Fasteners,48.608,7,0.2,3.528,3.804,FALSE
2012-08-07,LR-169151404,Technology,Phones,445.96,5,0.2,55.745,47.16,TRUE
2013-10-03,TB-2117518,Office Supplies,Binders,16,2,0,2.56,1.563,FALSE
2012-12-05,RC-199601404,Office Supplies,Storage,53.424,3,0.2,4.6746,3.08,FALSE
2014-10-22,JE-1574527,Office Supplies,Labels,58.65,5,0,25.2,3.77,FALSE
2014-05-27,JP-5520129,Technology,Phones,1150.038,2,0.1,332.178,183.32,FALSE
2012-09-25,CM-127151406,Furniture,Furnishings,21.184,1,0.2,4.7664,1.55,TRUE
2014-07-15,BM-117851402,Technology,Phones,419.944,7,0.2,52.493,64.32,TRUE
2013-06-06,BP-1129082,Office Supplies,Envelopes,54.18,3,0,8.1,7.957,FALSE
2014-03-06,VG-2180539,Furniture,Chairs,82.16,2,0,22.16,16.736,FALSE
2014-10-21,BD-1172551,Technology,Copiers,247.36428,3,0.002,96.16428,37.362,FALSE
2015-10-18,NC-18535143,Office Supplies,Labels,5.22,1,0.4,0,1.528,FALSE
2013-05-07,AG-106751402,Office Supplies,Paper,15.936,4,0.2,5.3784,1.82,FALSE
2015-04-14,FH-4275146,Office Supplies,Art,23.25,1,0,4.41,5.29,FALSE
2015-12-09,EH-412595,Office Supplies,Art,15.624,2,0.7,0,1.1,FALSE
2015-03-21,NH-1861058,Office Supplies,Binders,100.92,2,0,45.36,13.54,FALSE
2014-09-12,AJ-1078048,Office Supplies,Binders,74.88,6,0,5.94,1.2,FALSE
2013-10-18,MC-1727545,Office Supplies,Supplies,121.86,6,0,40.14,13.01,FALSE
2015-03-17,VM-216851404,Technology,Phones,659.976,3,0.2,49.4982,77.64,FALSE
2012-09-14,DK-1289598,Office Supplies,Appliances,633.528,3,0.4,0,50.9,TRUE
2015-08-08,CS-1195062,Office Supplies,Fasteners,28.575,5,0.5,0,1.28,FALSE
2014-07-29,JJ-5760134,Furniture,Bookcases,146.736,1,0.6,0,9.85,FALSE
2015-03-19,EJ-372095,Office Supplies,Art,57.096,4,0.7,0,6.39,FALSE
2013-08-31,JK-1520545,Office Supplies,Art,333.27,7,0,63.21,22.94,FALSE
2015-06-18,NC-834023,Furniture,Furnishings,97.56,2,0,12.66,10.28,FALSE
2014-05-30,JB-1540064,Office Supplies,Appliances,1609.29,3,0,273.51,135.64,FALSE
2014-09-20,MC-1742582,Technology,Accessories,69.18,1,0,21.44,2.082,FALSE
2014-10-09,CM-12385104,Office Supplies,Art,26.775,3,0.5,0,7.03,FALSE
2012-12-26,SP-2054534,Technology,Phones,207.72,3,0.5,0,3.65,FALSE
2015-06-19,PW-1924036,Technology,Phones,623.168,7,0.2,225.848,50.803,FALSE
2015-05-10,MC-727577,Technology,Accessories,495.06,2,0,59.4,27.28,FALSE
2014-05-01,AH-100753,Office Supplies,Binders,63.24,2,0,25.92,12.98,FALSE
2014-04-15,GK-14620101,Office Supplies,Labels,8.616,2,0.4,1.256,1.131,TRUE
2013-05-30,LD-685595,Office Supplies,Labels,2.736,1,0.7,0,1.31,FALSE
2012-12-12,VT-1170095,Office Supplies,Paper,3.978,1,0.7,0,1.22,FALSE
2015-07-08,JE-1561097,Office Supplies,Paper,18.36,2,0.5,0,1.04,TRUE
2015-07-02,KF-162851402,Office Supplies,Storage,443.92,4,0,13.3176,1.55,FALSE
2014-07-25,HE-1480018,Furniture,Furnishings,302.08,4,0,84.56,55.09,FALSE
2013-03-21,AG-1052564,Office Supplies,Storage,41.976,4,0.4,0,3.2,FALSE
2013-04-16,EP-1391597,Technology,Machines,314.22,2,0.5,0,12.34,FALSE
2014-11-02,CS-2355137,Office Supplies,Storage,58.32,1,0,25.65,3.2,FALSE
2015-05-09,AA-10480101,Office Supplies,Binders,26.76,5,0.4,0,2.043,FALSE
2013-09-17,JC-1534048,Office Supplies,Envelopes,128.34,6,0,0,19.48,FALSE
2015-11-20,OT-18730120,Furniture,Furnishings,102.78,2,0,29.76,8.85,FALSE
2015-09-12,DK-13225120,Office Supplies,Supplies,81.66,2,0,13.02,6.08,FALSE
2013-11-15,AS-10045117,Office Supplies,Art,60.42,2,0,9.66,4.75,FALSE
2014-01-22,BT-115301406,Technology,Phones,110.376,4,0.4,0,18.78,FALSE
2014-02-21,EA-140351406,Furniture,Furnishings,135.8,7,0,66.542,37.49,FALSE
2012-11-26,MS-177701406,Office Supplies,Fasteners,3.76,2,0,1.316,1.25,FALSE
2013-05-08,MF-1766551,Furniture,Tables,143.616,1,0.2,0,7.071,TRUE
2013-06-11,LP-17095102,Office Supplies,Labels,6.5175,1,0.45,0.2175,1.42,FALSE
2012-07-19,AG-10330139,Office Supplies,Envelopes,78.75,5,0,35.4,19.53,FALSE
2015-12-23,JC-1538518,Office Supplies,Supplies,92.4,3,0,34.14,4.219,FALSE
2015-10-24,VP-2173098,Office Supplies,Labels,17.136,4,0.4,0,1.539,FALSE
2015-01-31,NW-1840098,Office Supplies,Storage,243.864,3,0.4,0,11.602,FALSE
2015-03-22,PS-189701404,Office Supplies,Storage,359.32,4,0,7.1864,23.61,FALSE
2015-12-23,TH-2123564,Technology,Copiers,290.7,2,0,93,123.83,FALSE
2013-12-03,SS-2014045,Furniture,Bookcases,207.432,3,0.6,0,19.62,FALSE
2013-12-16,RB-1979527,Technology,Machines,236.1,2,0,73.14,16.59,FALSE
2012-03-27,RA-928560,Furniture,Chairs,143.4,1,0,51.6,12.08,FALSE
2012-06-20,SZ-2003518,Furniture,Bookcases,132.256,4,0.6,0,16.719,FALSE
2015-12-28,DR-128801406,Technology,Phones,164.388,2,0.4,0,14.67,FALSE
2012-03-01,CC-124307,Office Supplies,Binders,106.704,8,0.1,16.464,7.66,FALSE
2014-03-29,JW-1522064,Technology,Copiers,527.16,2,0,131.76,37.54,FALSE
2012-12-06,JD-5790103,Office Supplies,Storage,272.76,2,0,57.24,49.9,TRUE
2013-04-30,ML-1826518,Office Supplies,Binders,13.88,2,0,1.24,1.866,FALSE
2015-06-05,RF-9735142,Office Supplies,Binders,5.7,1,0,2.37,1.88,FALSE
2014-09-02,AB-100601406,Technology,Accessories,6.79,1,0,2.3086,1.31,FALSE
2012-07-20,EB-384023,Office Supplies,Appliances,1083.54,2,0,400.86,76.32,FALSE
2013-08-16,SW-207557,Technology,Copiers,380.538,3,0.1,0,17.62,FALSE
2012-02-14,DB-1327056,Office Supplies,Fasteners,57.69,3,0,5.13,6.7,FALSE
2012-12-20,CK-1259548,Office Supplies,Storage,1244.187,7,0.1,0,56.69,FALSE
2012-06-26,EP-3915134,Technology,Machines,61.392,4,0.6,0,5.47,FALSE
2014-06-14,SO-10335108,Office Supplies,Art,308.16,6,0,58.5,46.79,FALSE
2015-12-29,DM-13345120,Technology,Machines,131.274,2,0.1,45.174,15.3,FALSE
2013-12-10,AH-1003027,Office Supplies,Supplies,118.8,9,0,39.15,16.46,FALSE
2014-03-23,NP-1867048,Furniture,Bookcases,784.782,2,0.1,270.282,50.13,FALSE
2014-11-07,EB-411095,Office Supplies,Binders,1.161,1,0.7,0,1.17,FALSE
2013-06-06,JS-1603058,Office Supplies,Binders,80.22,7,0,35.28,12.65,FALSE
2013-07-16,CA-277595,Technology,Phones,190.863,1,0.7,0,37.77,FALSE
2012-10-10,JF-155651406,Office Supplies,Storage,281.904,2,0.2,10.5714,11.84,FALSE
2015-07-22,SF-202001404,Technology,Phones,71.928,9,0.2,6.2937,18.4,FALSE
2013-03-06,AR-1051027,Office Supplies,Paper,32.64,1,0,1.95,7.72,FALSE
2015-06-11,TC-2114555,Technology,Copiers,112.49576,2,0.402,0,16.215,TRUE
2015-12-18,DA-1345093,Office Supplies,Storage,14.32,2,0,7,2.856,FALSE
2015-09-17,TS-2116045,Office Supplies,Binders,54.72,4,0,16.32,3.55,FALSE
2014-06-21,AB-10060102,Furniture,Furnishings,37.485,2,0.25,0,7.69,FALSE
2013-04-06,TT-212201402,Office Supplies,Paper,7.968,2,0.2,2.8884,1.16,FALSE
2015-08-28,MC-1727548,Office Supplies,Art,15.54,1,0,5.1,1.16,FALSE
2013-12-31,DB-297060,Office Supplies,Binders,5.91,1,0,2.1,1.56,FALSE
2015-06-18,LH-6750134,Office Supplies,Binders,3.216,1,0.6,0,1.21,FALSE
2014-03-15,HZ-149501406,Furniture,Furnishings,21.88,5,0.2,6.2905,1.31,FALSE
2012-05-01,VD-2167088,Office Supplies,Labels,49.1775,5,0.17,13.6275,3.11,FALSE
2015-05-08,BT-1130554,Technology,Phones,95.688,3,0.4,14.328,7.987,FALSE
2014-11-14,AJ-1096045,Technology,Phones,428.4765,3,0.15,10.0665,79.91,FALSE
2012-06-08,NR-185507,Office Supplies,Envelopes,136.242,3,0.1,37.782,12.9,FALSE
2013-07-23,DB-1340582,Office Supplies,Appliances,322,5,0,83.7,78.826,FALSE
2013-01-11,CS-124901406,Technology,Phones,26.376,4,0.4,2.6376,3.72,FALSE
2012-11-13,CL-1270058,Furniture,Bookcases,1307.97,3,0,483.93,53.2,FALSE
2015-06-21,KB-1660059,Office Supplies,Binders,126.6912,3,0.17,0,15.9,FALSE
2013-06-13,PS-190451406,Office Supplies,Binders,8.26,2,0,3.8822,1.18,TRUE
2014-07-23,SA-10830117,Office Supplies,Paper,46.38,1,0,4.62,4.93,FALSE
2015-05-24,VT-21700118,Technology,Phones,227.955,7,0.5,0,23.61,FALSE
2015-08-25,JO-155507,Technology,Accessories,26.352,1,0.1,1.152,3.55,FALSE
2012-11-17,BD-162095,Furniture,Bookcases,116.937,1,0.7,0,16.58,FALSE
2012-12-20,LB-679595,Technology,Machines,15.12,1,0.7,0,1.98,FALSE
2013-08-13,SS-20590102,Office Supplies,Fasteners,7.7385,1,0.45,0,1.24,FALSE
2013-04-16,SH-10635108,Office Supplies,Envelopes,44.46,2,0,20.4,4.35,FALSE
2013-05-19,NM-18520144,Office Supplies,Labels,50.796,5,0.17,11.496,7.6,FALSE
2013-02-06,TC-209808,Furniture,Furnishings,232.44,4,0,41.76,16.89,FALSE
2012-04-11,KN-164501404,Technology,Phones,1075.088,14,0.2,94.0702,85.97,FALSE
2013-10-24,DW-1348018,Furniture,Furnishings,140.2,5,0,7,13.242,FALSE
2014-06-22,AR-1051093,Office Supplies,Fasteners,42.12,6,0,6.24,7.636,FALSE
2013-06-21,TC-2114582,Technology,Phones,1696.4,4,0,67.84,264.888,FALSE
2014-09-25,RP-985586,Technology,Accessories,653.52,8,0,39.12,73.74,FALSE
2015-05-28,LS-724523,Office Supplies,Storage,17.52,1,0,5.43,1.54,FALSE
2013-03-24,RA-1988582,Office Supplies,Envelopes,38.7,3,0,3.84,2.163,FALSE
2014-12-25,TT-21070120,Technology,Machines,540.324,2,0.1,5.964,63.7,FALSE
2012-05-22,BW-1111092,Office Supplies,Labels,64.08,6,0,21.06,3.05,FALSE
2013-06-15,BE-1410137,Office Supplies,Labels,9.12,1,0,1.98,1.23,FALSE
2014-11-25,SB-1018586,Furniture,Furnishings,321.3,6,0,96.3,31.36,FALSE
2012-06-06,CB-2415134,Furniture,Tables,349.068,1,0.6,0,43.45,FALSE
2015-02-26,KW-165707,Office Supplies,Storage,58.68,2,0.4,0,5.05,FALSE
2013-10-08,AC-10420102,Furniture,Chairs,486.09,4,0.25,0,35.6,FALSE
2014-10-09,PB-1910518,Furniture,Chairs,592.3,5,0,35.5,73.171,FALSE
2013-01-07,PF-1922582,Furniture,Bookcases,2092.752,9,0.2,52.272,169.925,FALSE
2014-06-10,MJ-1774055,Furniture,Chairs,55.152,3,0.4,0,4.365,FALSE
2012-12-27,AB-1010558,Technology,Copiers,1066.68,3,0,394.65,383.68,FALSE
